participant_id,group,hours,measurement_before,measurement_after
1,B,4.35,60.95,68.07
2,A,3.22,61.09,68.5
3,A,3.08,44.14,52.51
4,B,2.57,49.4,59.06
5,B,2.28,44.42,46.94
6,A,4.57,61.29,62.32
7,A,2.9,49.7,54.75
8,A,2.68,55.42,59.26
9,B,2.76,55.52,61.07
10,A,3.76,44.39,51.22
11,A,3.71,50.54,56.37
12,B,2.29,42.19,45.93
13,B,3.49,54.03,60.34
14,A,3.57,41.68,45.44
15,A,3.02,49.77,56.24
16,B,3.76,36.52,43.25
17,A,4.4,50.22,57.13
18,B,2.46,55.1,57.64
19,A,2.99,51.33,56.56
20,B,4.2,53.27,58.99
21,B,3.73,52.93,57.8
22,B,3.31,47.31,50.43
23,A,3.41,55.29,61.34
24,B,2.35,41.93,49.89
25,A,2.95,65.47,68.22
26,B,1.63,36.74,41.12
27,A,2.96,44.1,45.77
28,A,2.26,58.29,60.93
29,B,4.61,44.27,56.79
30,B,4.98,27.1,32.01
31,A,1.33,55.44,57.94
32,A,0.65,54.09,54.18
33,A,0.6,51.44,52.19
34,A,4.55,45.61,50.3
35,B,1.31,47.39,52.2
36,B,3.6,58.82,67.91
37,B,3.34,57.04,64.06
38,B,1.64,42.52,45.61
39,B,4.39,47.22,50.48
40,A,0.77,42.88,45.83
41,B,4.84,64.91,74.11
42,B,2.89,51.62,58.39
43,B,4.21,56.03,63.27
44,A,3.64,56.56,62.91
45,A,3.25,37.95,40.94
46,B,1.34,56.65,61.07
47,A,3.57,37.11,42.77
48,B,1.69,56.75,61.24
49,B,2.25,44.57,50.48
50,A,3.04,52.55,57.05
51,B,2.8,49.84,56.97
52,A,1.92,48.05,50.79
53,A,3.49,54.12,58.24
54,B,1.87,43.07,46.55
55,A,5.04,35.54,44.62
56,B,2.02,70.3,73.32
57,B,0.9,60.63,59.32
58,B,3.99,61.13,67.55
59,B,4.66,52.75,63.97
60,B,3.82,39.72,46.75
61,A,3.08,51.59,57.98
62,B,5.31,39.11,45.97
63,A,3.8,50.9,58.07
64,A,2.52,47.78,50.5
65,B,2.48,60.04,63.05
66,A,1.95,43.36,41.34
67,A,3.2,51.59,53.69
68,B,3.74,43.04,46.85
69,B,3.38,57.89,65.4
70,A,1.82,49.28,52.81
71,A,2.9,47.29,50.79
72,B,2.01,50.84,54.85
73,A,3.56,53.36,58.21
74,A,3.12,54.61,61.78
75,A,3.69,41.66,44.05
76,B,3.52,44.18,47.5
77,B,3.11,55.82,64.45
78,B,4.82,33.49,43.01
79,A,1.81,64.07,67.89
80,B,2.82,38.65,41.99
81,A,3.08,50.16,55.57
82,A,4.27,47.86,52.86
83,A,3.82,54.56,62.92
84,B,3.63,53.89,60.36
85,A,2.84,65.54,68.04
86,A,1.69,62.8,65.26
87,A,1.87,44.31,47.03
88,A,1.99,57.39,63.55
89,A,4.4,56.55,62.71
90,B,2.03,48.4,53.88
91,B,3.12,47.81,50.91
92,B,3.94,37.06,43.08
93,A,3.56,66.25,73.55
94,B,0.52,59.06,61.47
95,A,2.17,54.98,61.48
96,B,4.51,48.16,54.14
97,A,3.0,49.49,51.95
98,A,5.23,53.53,59.84
99,B,5.11,45.4,49.62
100,B,4.92,66.77,76.38
101,B,4.71,68.22,76.06
102,A,3.04,50.83,52.57
103,B,2.58,42.29,47.18
104,B,4.17,40.21,49.71
105,B,3.14,54.08,60.91
106,A,3.95,58.26,64.07
107,B,2.68,31.46,36.6
108,B,4.36,47.53,52.42
109,A,3.61,45.62,50.57
110,B,1.63,62.22,63.54
111,A,2.88,51.97,53.95
112,A,2.87,54.17,58.0
113,B,2.49,43.96,47.06
114,A,4.38,52.35,60.05
115,B,3.68,46.89,50.79
116,B,0.5,38.72,40.17
117,A,4.72,60.96,67.46
118,B,3.42,63.52,70.34
119,B,3.05,44.52,47.52
120,B,2.9,59.69,62.09
121,A,4.28,44.66,50.66
122,B,1.93,30.82,35.35
123,B,3.06,52.57,58.26
124,A,4.97,57.79,65.78
125,B,2.33,53.05,59.44
126,A,3.04,37.61,40.51
127,A,3.84,47.28,55.43
128,A,3.45,65.95,74.91
129,B,3.6,45.0,53.39
130,B,3.26,54.46,60.97
131,B,3.47,56.06,61.6
132,B,2.53,61.12,64.17
133,A,2.71,57.04,61.25
134,A,2.35,55.42,57.55
135,B,3.16,52.62,59.92
136,B,1.41,55.46,56.74
137,B,2.01,46.0,49.01
138,B,4.12,48.67,56.88
139,A,2.74,44.42,47.41
140,A,2.63,45.37,50.36
141,A,3.19,51.63,56.05
142,A,6.06,48.48,54.77
143,B,2.38,60.43,63.79
144,B,3.85,60.4,63.93
145,A,2.7,41.36,46.96
146,B,2.51,50.62,57.24
147,B,3.19,59.45,68.53
148,A,2.6,57.34,64.3
149,A,3.96,59.59,65.16
150,B,3.79,42.17,47.49
151,B,2.94,37.33,42.96
152,A,4.85,42.47,48.13
153,A,3.99,39.73,46.43
154,A,3.46,41.04,49.69
155,A,3.5,39.18,43.92
156,B,3.55,58.39,65.2
157,A,3.12,62.38,69.4
158,A,2.59,54.6,57.02
