participant_id,group,hours,measurement_before,measurement_after
1,A,2.06,62.69,63.47
2,B,3.14,26.07,31.78
3,B,3.74,44.68,50.61
4,B,3.95,47.0,53.07
5,B,5.38,49.7,54.85
6,B,4.55,44.24,51.25
7,B,1.9,61.31,69.31
8,A,2.09,39.13,42.29
9,A,2.99,50.56,52.42
10,A,3.74,49.34,47.28
11,A,4.96,59.62,61.13
12,B,4.51,44.93,49.07
13,B,2.34,39.27,46.67
14,A,5.15,43.99,44.63
15,A,3.17,56.4,58.62
16,B,4.73,33.41,37.8
17,A,2.76,50.57,48.68
18,B,2.02,48.95,53.45
19,B,5.41,38.11,44.51
20,B,2.4,41.04,44.22
21,A,1.54,45.35,47.7
22,A,2.8,32.72,37.54
23,B,2.11,48.72,54.58
24,A,2.98,53.36,56.49
25,A,3.1,64.24,66.65
26,B,4.33,62.66,69.33
27,A,3.24,42.19,41.06
28,B,4.6,52.57,58.67
29,A,5.82,48.06,50.2
30,A,3.36,37.7,36.47
31,B,3.61,49.54,57.92
32,A,3.05,45.76,49.63
33,A,2.46,48.81,50.11
34,B,3.24,52.73,62.41
35,B,3.6,54.83,62.77
36,B,2.95,48.0,58.05
37,B,3.7,36.0,41.6
38,B,2.94,56.7,64.32
39,A,1.7,37.95,37.87
40,A,2.6,43.45,41.74
41,B,2.34,71.17,77.85
42,B,5.29,47.01,50.3
43,A,1.84,67.84,69.3
44,B,3.92,55.12,62.68
45,A,2.44,60.15,59.01
46,A,1.74,39.19,38.93
47,B,3.99,38.5,46.17
48,A,4.11,46.76,46.97
49,A,4.12,49.38,49.33
50,B,5.22,50.45,56.14
51,A,1.43,50.7,51.56
52,B,2.67,54.53,59.81
53,B,2.08,71.55,75.17
54,B,4.47,57.63,58.09
55,A,3.36,47.1,48.29
56,B,3.55,39.18,44.88
57,B,5.34,54.48,61.81
58,A,1.18,54.78,56.99
59,A,2.41,39.6,40.81
60,A,3.53,63.3,66.62
61,A,4.91,51.82,50.43
62,B,0.68,57.01,62.75
63,A,1.15,37.04,38.5
64,B,2.12,40.21,45.34
65,A,2.42,44.77,47.65
66,B,3.81,42.48,49.59
67,B,3.44,47.85,52.97
68,A,6.36,47.66,47.68
69,A,3.47,44.64,42.4
70,A,3.05,51.61,53.89
71,A,1.81,61.39,59.33
72,A,3.28,28.64,26.38
73,B,3.89,41.22,46.85
74,A,3.04,48.13,47.53
75,B,5.05,57.36,64.16
76,B,3.93,64.32,70.99
77,B,4.7,47.36,54.21
78,B,4.24,25.62,29.36
79,A,4.96,43.09,46.41
80,B,3.02,60.9,67.82
81,A,2.27,50.45,53.62
82,B,2.56,67.63,72.29
83,A,0.73,51.14,54.77
84,B,4.47,61.54,64.09
85,A,2.67,49.78,48.11
86,B,1.57,54.36,61.8
87,A,4.15,58.57,56.52
88,B,3.25,38.92,46.3
89,A,1.99,51.7,54.39
90,A,2.29,49.17,50.2
91,B,4.23,54.45,59.97
92,A,2.21,57.77,56.94
93,B,2.4,33.47,38.43
94,B,1.35,55.8,57.45
95,B,3.61,54.27,62.24
96,A,4.41,46.44,45.1
97,B,4.43,51.82,55.39
98,B,2.74,47.08,50.15
99,A,2.42,37.87,37.23
100,B,2.93,48.76,52.9
101,B,1.29,59.02,65.02
102,B,5.56,52.8,60.13
103,A,2.48,58.48,55.12
104,B,3.51,53.78,62.26
105,B,2.41,41.14,48.5
106,A,2.4,60.2,62.84
107,B,1.86,38.76,43.52
108,A,2.03,25.0,21.7
109,A,1.18,74.61,73.91
110,B,3.22,54.0,60.0
111,B,4.37,54.22,63.05
112,A,1.44,46.04,46.87
113,B,3.63,35.79,40.31
114,B,1.66,42.77,53.3
115,A,1.65,30.95,34.12
116,B,4.14,46.05,47.12
117,B,3.67,50.56,53.09
118,B,4.6,63.43,71.61
119,B,1.49,49.85,54.38
120,B,5.46,47.6,48.04
121,A,4.53,59.25,59.37
122,B,4.59,55.94,64.09
123,B,4.22,47.58,53.61
124,B,3.69,49.16,55.72
125,A,3.18,43.46,44.99
126,A,2.75,55.7,58.25
127,A,2.5,45.09,46.43
128,B,2.41,51.72,57.14
129,A,3.07,53.24,55.24
130,B,3.24,43.11,54.2
131,B,1.6,56.77,62.08
132,A,4.06,48.57,51.84
133,B,2.0,40.65,45.91
134,A,3.15,61.35,57.98
135,A,3.75,45.13,44.01
136,B,3.03,64.67,71.74
137,B,1.69,47.27,53.96
138,B,3.48,69.12,73.89
139,B,2.83,51.15,58.99
140,A,4.25,70.06,72.43
