participant_id,group,hours,measurement_before,measurement_after
1,B,4.1,45.88,49.64
2,A,2.85,55.24,61.37
3,B,3.01,48.67,57.76
4,A,2.97,41.52,41.84
5,A,4.58,62.6,66.98
6,B,2.6,48.5,52.87
7,B,3.59,59.33,67.09
8,B,4.97,38.14,45.07
9,A,2.93,57.08,62.48
10,B,2.42,56.27,60.0
11,B,4.41,57.66,62.83
12,B,2.53,44.32,48.86
13,B,4.28,45.42,50.93
14,B,3.58,60.63,63.78
15,B,3.44,64.89,69.04
16,A,3.25,61.46,68.56
17,B,1.63,53.08,55.46
18,A,4.73,42.37,44.95
19,A,1.64,47.38,48.22
20,A,3.59,52.26,55.61
21,B,4.15,54.28,65.38
22,B,4.24,49.5,56.25
23,A,1.8,30.99,32.51
24,A,3.69,52.99,61.6
25,B,3.18,25.0,30.67
26,B,4.74,60.34,66.72
27,B,2.4,37.69,42.17
28,B,2.1,56.34,60.62
29,A,3.2,40.57,43.22
30,B,4.59,50.7,59.82
31,B,4.57,41.31,47.91
32,B,2.86,43.14,45.74
33,B,4.01,47.95,52.74
34,B,0.95,51.34,53.74
35,B,2.03,52.55,56.69
36,B,2.29,45.12,50.31
37,A,3.56,44.56,47.38
38,B,1.89,36.43,37.69
39,A,4.82,42.99,49.15
40,B,5.63,46.2,53.33
41,B,2.44,54.93,57.32
42,B,1.8,48.14,52.73
43,B,2.85,42.87,49.08
44,B,3.16,56.35,64.81
45,A,5.04,43.59,50.42
46,B,4.5,52.51,59.32
47,B,2.41,50.91,54.37
48,B,4.63,47.27,52.78
49,B,4.35,54.61,61.66
50,B,1.55,61.8,64.72
51,B,5.82,47.06,54.09
52,B,2.68,62.45,66.7
53,A,3.67,44.49,47.44
54,A,3.68,48.19,53.12
55,B,3.99,54.04,60.93
56,B,1.52,61.66,66.54
57,B,2.76,44.64,47.32
58,A,5.01,40.24,45.42
59,A,3.36,56.32,58.31
60,B,4.32,52.52,59.99
61,B,4.08,40.09,47.83
62,B,2.67,55.1,54.03
63,A,0.5,58.12,60.41
64,A,2.98,60.02,67.81
65,A,5.26,75.0,83.28
66,A,1.74,35.85,36.34
67,B,4.34,25.74,32.09
68,A,4.48,55.45,55.91
69,A,0.97,60.2,62.63
70,A,3.2,44.27,47.92
71,A,4.06,49.48,52.51
72,B,3.11,56.97,61.96
73,B,3.11,55.66,61.11
74,A,3.92,56.55,62.33
75,B,2.24,55.57,60.1
76,A,3.71,51.29,54.38
